id;phone_number;location;avatar;notes
1;à travers;miam;adversaire ici;tourner
2;emplir;séduire procéder;blablabla membre titulaire multiple;hebdomadaire
3;responsable incalcul;totalement quant à;boum;vroum
4;au prix de;chef énergique;si;avant miam plic
5;chez cot cot police;extra déboucher ouf;blême touchant circulaire;du fait que vaste pourvu que
6;bien que hi;malade ouf;quitte à depuis;à condition que fort broum
7;émérite commis de cu;douter;coac coac;dès que tout à fait
8;vers séparer;coin-coin;habile;cot cot que foule
9;hôte en decà de;blablabla au-devant lancer;certes délectable;lectorat
10;à raison de;féliciter loin nager;tellement commis de cuisine;rocher coin-coin
