id;name;phone;siret;address;email;contact_person;contact_person_phone;contact_person_email;size;notes
1;raide;0243535794;14;incognito oups;Solange.Denis@gmail.com;pour que présidence admirablement;extrêmement;jusqu’à ce que aspirer;étaler prestataire de services;au point que jeune oh
2;secouriste;0438131031;14;sans que miam énergique;Benigne_Gaillard@yahoo.fr;évacuer trop peu placide;quitte à membre;insolite;outre désormais;terne
3;ensemble;+33 439451013;14;diététiste par suite de;Stanislas_Dubois@yahoo.fr;embrasser condamner coac coac;souffler oui ju;hier pschitt apaiser;drôlement drelin neutre;oups bien que
4;comme;+33 232321580;14;éliminer personnel professionnel paf;Amedee.Bourgeois@gmail.com;ha guère commis;mal zzzz mal;sage dense;par suite de;un peu antagoniste vis-à-vie de
5;novice super alors que;0654877347;14;de sorte que que;Alexine_Lucas76@gmail.com;détacher;hier ferme goût;quand épanouir par rapport à;en dedans de;tchou tchouu au-dedans de jeune
6;contourner équiper délégation;0327606614;14;gigantesque antique;Marine.Renard57@yahoo.fr;sous couleur de pauvre;miam électorat ;candide jadis;pendant que parlementaire;tchou tchouu bof d'avec
7;sans que à demi rallier;+33 516942800;14;reprendre électorat;Baudouin46@gmail.com;souper pour que;de façon à ce q;quelque;prout;séculaire
8;à raison de hé coin-coin;0247055031;14;main-d’œuvre badaboum mourir;Claudien_Jean@hotmail.fr;absolument ci;soustraire;croâ entamer;à l'entour de partenaire à l'insu de;découvrir
9;camarade conseil d’administration;0523380255;14;autour de;Briac_Robert0@hotmail.fr;vu que;proche de de fa;bè vétuste rafraîchir;de façon à ce que;trop
10;d'après un peu;0290863078;14;rectangulaire ressentir aux alentours de;Adalard29@yahoo.fr;trop comme;amorphe rompre ;adversaire;super;dans la mesure où suivant
